match_nr,home/away,player_name,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,totat_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,game_won,game_result,rating
173,home,Koke,M,27,0,0,0,0,22,1,22,0,0,0,0,0,2,1,0,0,0,draw,1-1,6.6
173,home,Marcos Llorente,M,9,0,0,0,0,7,0,5,0,0,1,0,0,0,0,0,0,0,draw,1-1,6.7
173,home,Raúl de Tomás,F,20,0,0,0,0,12,1,9,0,0,0,0,0,5,4,2,2,0,draw,1-1,6.9
173,home,Dani Olmo,M,27,1,0,0,0,20,0,16,0,1,0,0,0,4,2,0,0,0,draw,1-1,6.7
173,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0
173,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0
173,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0
173,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0
173,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0
173,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0
173,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0
173,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0
173,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0
173,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0
173,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0
173,away,Diogo Costa,G,90,0,0,0,0,32,0,21,1,0,0,0,1,2,2,0,0,0,draw,1-1,6.6
173,away,João Cancelo,D,90,0,0,0,1,36,1,31,0,6,0,0,0,13,8,3,2,0,draw,1-1,7.3
173,away,Pepe,D,90,1,0,0,0,46,0,39,0,1,1,2,0,8,2,0,0,1,draw,1-1,6.6
173,away,Danilo Pereira,D,90,0,0,0,0,51,1,46,0,0,0,2,0,6,3,0,0,0,draw,1-1,6.6
173,away,Raphaël Guerreiro,D,90,0,0,0,0,42,2,35,0,2,0,1,0,6,3,2,1,1,draw,1-1,7
173,away,Bruno Fernandes,M,81,0,0,0,0,37,0,28,0,1,0,2,0,6,1,1,0,0,draw,1-1,6.2
173,away,João Moutinho,M,45,0,0,0,0,15,0,12,0,0,0,0,0,3,0,0,0,1,draw,1-1,6.3
173,away,Bernardo Silva,M,90,0,0,0,0,37,0,28,0,1,0,0,0,11,4,0,0,1,draw,1-1,6.5
173,away,Otávio,F,62,0,0,0,0,16,1,14,0,2,0,1,0,8,7,1,1,0,draw,1-1,7.3
173,away,André Silva,F,62,1,0,0,0,18,1,16,0,1,0,0,0,6,6,1,1,0,draw,1-1,7.2
173,away,Rafael Leão,F,72,3,1,0,0,14,0,8,0,1,0,0,0,9,4,3,1,0,draw,1-1,6.2
173,away,Matheus Nunes,M,9,0,0,0,0,5,0,4,0,0,0,1,0,1,0,0,0,1,draw,1-1,6.3
173,away,Rúben Neves,M,45,0,0,0,0,20,0,15,0,0,0,2,0,2,0,0,0,0,draw,1-1,6.5
173,away,Cristiano Ronaldo,F,28,0,0,0,0,10,0,9,0,0,0,0,0,3,0,0,0,0,draw,1-1,6.7
173,away,Ricardo Horta,F,18,1,1,1,0,6,0,4,0,0,0,0,0,1,0,0,0,0,draw,1-1,7.2
173,away,Gonçalo Guedes,F,28,0,0,0,0,7,1,5,0,1,0,0,0,5,4,0,0,0,draw,1-1,6.9
173,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0
173,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0
173,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0
173,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0
173,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0
173,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0
173,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0
